gender_encod,province_encod,school_type_encod,major_correlation_encod,admissions_approach_encode,admissions_score,major_encod,title_encoding,type_encoding,GPA,academic_performance,best_MA_paper_encode,com_type_encoding,company_level
0,13,1,3,1,608.78,0,1.0,1.0,3.6,0.7,0,1.0,2.0
1,27,2,3,1,608.78,0,2.0,1.0,3.8,2.5,0,1.0,2.0
1,0,1,3,1,608.78,0,2.0,1.0,3.6,1.1,0,2.0,2.0
0,12,2,3,1,608.78,0,2.0,0.0,3.8,1.3,0,0.0,2.0
1,9,1,3,1,608.78,0,2.0,1.0,3.8,0.5,0,0.0,2.0
1,13,3,3,1,608.78,0,1.0,0.0,3.5,0.3,0,1.0,2.0
1,13,3,3,1,608.78,0,2.0,1.0,3.6,0.0,0,3.0,0.0
1,13,3,3,0,632.79,0,2.0,0.0,3.6,1.8,0,0.0,2.0
1,13,1,3,1,608.78,0,1.0,0.0,3.6,0.7,0,0.0,1.0
1,13,1,3,1,608.78,0,2.0,1.0,3.9,0.9,0,0.0,2.0
1,13,1,3,1,608.78,0,2.0,1.0,3.4,0.0,0,3.0,0.0
1,1,1,3,0,615.26,0,1.0,0.0,3.6,1.3,0,2.0,2.0
1,13,1,3,1,608.78,1,2.0,0.0,3.7,0.5,0,1.0,2.0
0,11,1,3,1,608.78,1,2.0,1.0,3.7,1.6,0,0.0,0.0
0,11,1,3,1,608.78,1,2.0,0.0,3.6,11.6,0,2.0,2.0
0,13,1,3,1,608.78,1,2.0,0.0,3.5,0.8,0,0.0,0.0
0,8,1,3,1,608.78,1,2.0,1.0,3.3,0.4,0,1.0,1.0
0,13,3,3,1,608.78,1,0.0,0.0,3.6,0.6,0,0.0,2.0
0,2,0,3,0,630.7,1,2.0,1.0,3.6,3.7,0,2.0,2.0
0,14,0,3,0,615.18,1,2.0,1.0,3.4,1.3,1,0.0,2.0
1,12,2,3,1,608.78,1,2.0,1.0,3.6,0.0,0,3.0,0.0
1,13,2,3,1,608.78,1,1.0,0.0,3.6,1.9,0,0.0,2.0
1,13,3,3,1,608.78,1,2.0,1.0,3.5,0.5,0,3.0,2.0
1,13,3,3,1,608.78,1,2.0,1.0,3.6,0.0,1,3.0,0.0
0,11,2,3,1,608.78,1,2.0,0.0,3.7,0.7,0,0.0,2.0
1,29,2,3,1,608.78,1,2.0,1.0,3.6,0.9,0,3.0,0.0
1,9,1,3,1,608.78,1,2.0,0.0,3.8,1.1,0,0.0,2.0
0,29,1,3,1,608.78,1,2.0,1.0,3.2,1.2,0,0.0,1.0
0,12,2,3,1,608.78,1,2.0,0.0,3.7,0.8,0,0.0,2.0
0,9,1,3,1,608.78,1,1.0,0.0,3.7,1.0,0,0.0,2.0
1,5,2,3,1,608.78,1,2.0,1.0,3.6,0.4,0,0.0,2.0
1,5,2,3,1,608.78,1,1.0,1.0,3.6,0.4,0,0.0,2.0
0,9,1,3,1,608.78,1,2.0,0.0,3.8,0.5,1,0.0,2.0
1,13,1,3,1,608.78,1,2.0,1.0,3.6,1.7,0,0.0,2.0
0,4,1,3,1,608.78,1,1.0,1.0,3.5,2.0,0,0.0,2.0
0,3,1,3,1,608.78,1,1.0,1.0,3.5,2.7,0,0.0,1.0
1,12,2,3,1,608.78,1,1.0,0.0,3.8,2.4,1,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.8,1.5,0,0.0,0.0
1,24,1,3,1,608.78,1,2.0,0.0,3.5,0.6,0,0.0,2.0
1,12,1,3,1,608.78,1,2.0,1.0,3.7,1.2,0,0.0,2.0
1,13,1,3,1,608.78,1,2.0,1.0,3.5,1.2,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.7,0.8,0,0.0,2.0
1,13,3,3,1,608.78,1,2.0,0.0,3.7,2.5,0,3.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.6,0.8,0,0.0,2.0
0,13,3,3,1,608.78,1,2.0,1.0,3.5,0.9,0,1.0,2.0
0,5,2,3,0,656.48,1,2.0,1.0,3.4,0.6,1,3.0,2.0
0,13,3,3,0,607.84,1,0.0,0.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,608.78,1,2.0,0.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,629.1,1,1.0,0.0,3.7,0.7,0,0.0,2.0
1,13,3,3,0,609.15,1,2.0,1.0,3.6,0.0,0,3.0,0.0
0,13,3,3,0,628.53,1,2.0,1.0,3.6,1.1,0,0.0,2.0
0,13,3,3,0,594.65,1,2.0,1.0,3.5,0.3,0,1.0,2.0
0,13,3,1,1,547.85,1,1.0,0.0,3.1,0.8,0,1.0,2.0
0,1,2,3,0,649.51,1,2.0,1.0,3.6,0.6,0,1.0,1.0
1,13,0,3,0,621.06,1,1.0,1.0,3.4,0.4,0,0.0,2.0
0,30,1,3,0,625.43,1,2.0,1.0,3.0,1.2,0,0.0,2.0
1,13,1,3,0,620.65,1,2.0,1.0,3.4,0.3,0,0.0,2.0
1,13,1,3,0,643.23,1,1.0,1.0,3.6,0.3,0,0.0,2.0
0,13,1,3,0,619.9,1,1.0,1.0,3.7,1.6,0,0.0,0.0
0,12,1,3,0,581.14,1,2.0,1.0,3.4,1.6,0,0.0,2.0
