StockID,Date,ROE ,OPR,TOAR,TOTC,TAGR,NPGR,IRBR,CurrRatio,QuiRatio,CashRatio,ALR,EquiRatio,Label
17,2021/12/31,-0.066051,-0.006548,3.527135,1.697214,0.061266,-7.149305,1.816672,1.257376,1.144586,0.454613,0.753473,3.056348,C
26,2021/12/31,0.133441,0.096379,13.484,1.275668,0.02286,-0.584895,-0.113474,2.782083,0.782717,0.205047,0.266957,0.364176,B
587,2021/12/31,-19.573998,-15.351316,7.502001,0.091322,-0.792531,-1.630614,-0.898555,0.823522,0.652797,0.001845,1.167373,-6.974695,C
726,2021/12/31,0.039775,0.070887,8.092765,0.40334,0.070678,0.019289,0.241549,2.616731,1.488828,0.947398,0.355742,0.552174,B
850,2021/12/31,0.101185,0.155877,13.899447,0.456288,0.072752,-0.367125,-0.016694,2.164364,1.742841,0.263497,0.377284,0.605868,B
955,2021/12/31,0.010782,0.013716,8.726235,0.834595,-0.107049,4.511032,-0.10549,3.407843,2.735347,0.470442,0.259006,0.349539,B
982,2021/12/31,0.035891,0.105804,4.276149,0.322728,0.084218,-0.874863,0.201106,8.430697,7.544111,5.704665,0.128557,0.147522,B
1209,2021/12/31,0.113302,0.093429,13.44517,0.827758,0.961099,0.58241,0.577351,4.824147,3.597081,2.932459,0.195666,0.243265,B
1234,2021/12/31,0.229181,0.128167,5.171876,1.345394,0.198571,-0.480074,-0.070083,2.603683,1.714282,0.389654,0.262008,0.355027,B
2003,2021/12/31,0.167333,0.157208,7.854957,0.830811,0.186987,-0.707953,0.108963,1.510102,1.039319,0.533384,0.323452,0.478092,B
2029,2021/12/31,0.044887,0.090627,9.650671,0.338212,0.119085,6.279766,0.342939,1.207905,0.96305,0.141058,0.410357,0.695942,B
2042,2021/12/31,0.090762,0.040774,18.123588,0.829689,0.14356,-0.00683,-0.04014,1.108991,0.542492,0.207294,0.626164,1.674973,B
2083,2021/12/31,0.0718,0.064249,9.72258,0.666621,-0.130296,-0.701344,0.081449,1.19783,0.721336,0.175158,0.509348,1.038103,B
2087,2021/12/31,0.010621,0.030845,5.659183,0.501911,0.037572,-2.315322,-0.087274,1.291847,0.668559,0.015932,0.593047,1.457287,C
2098,2021/12/31,0.127234,0.061393,5.634688,1.069703,-0.043438,-1.09166,0.116743,1.114796,0.720003,0.166048,0.51305,1.053598,B
